k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,k33,k34,k35,k36
0.812808,0.743842,0.748954,0.5,0.0,0.0,1.0,0.752101,0.5,0.0,0.621249,0.68,0.0,0.630337,0.213675,0.676471,0.0,0.631605,0.205128,0.0,0.0,0.0,3.954955,0.0,0.981537,0.0,0.62773,0.72941,0.992477,0.987164,0.0,0.715971,0.722892,0.806452,0.707247,0.723661,0.749141
0.630542,0.615764,0.537657,0.642857,0.0,0.0,1.0,0.539916,0.642857,0.0,0.609936,0.33,0.0,0.624309,0.119658,0.323529,0.0,0.62456,0.119658,0.0,0.0,0.0,0.878,0.0,0.962489,0.0,0.554664,0.510946,0.990762,0.984143,0.0,0.69396,0.528399,0.548387,0.578728,0.530225,0.597528
0.596059,0.596059,0.472803,0.142857,0.333333,0.0,0.896197,0.470588,0.142857,0.0,0.624693,0.24,0.0,0.619789,0.452991,0.235294,0.0,0.621037,0.452991,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.511446,0.345314,0.991481,0.985276,0.0,0.514931,0.547332,0.580645,0.538843,0.547496,0.696447
0.625616,0.62069,0.453975,0.142857,0.0,0.0,1.0,0.455882,0.142857,0.0,0.690113,0.32,0.0,0.693119,0.34188,0.323529,0.0,0.694514,0.34188,0.0,0.0,0.0,0.263189,0.0,1.0,0.0,0.45567,0.423276,0.999557,0.999245,0.0,0.495558,0.442341,0.645161,0.720803,0.443869,0.589298
0.600985,0.600985,0.520921,0.5,0.333333,0.0,0.903634,0.518908,0.5,0.0,0.495819,0.25,0.0,0.503767,0.188034,0.245098,0.0,0.503271,0.188034,0.0,0.0,0.0,0.0,0.0,0.933025,0.0,0.829887,0.337438,0.992421,0.986975,0.0,0.242182,0.492255,0.709677,0.770594,0.492228,0.980429
0.374384,0.374384,0.359833,0.071429,0.0,0.0,1.0,0.361345,0.071429,0.0,0.604033,0.09,0.0,0.614766,0.179487,0.098039,0.0,0.615501,0.179487,0.0,0.0,0.0,0.0,0.0,0.981088,0.0,0.987584,0.358849,0.990596,0.983766,0.0,0.590169,0.437177,0.709677,0.684307,0.438687,1.028142
0.182266,0.172414,0.334728,0.071429,2.5,0.0,0.0,0.304622,0.071429,0.0,0.70241,0.3,0.0,0.716223,0.162393,0.294118,0.0,0.717665,0.162393,0.0,0.0,0.0,0.545003,0.0,1.0,0.0,0.930733,0.668857,0.991426,0.985276,0.0,0.852445,0.401033,0.645161,0.607143,0.402418,0.873288
0.300493,0.300493,0.274059,0.142857,0.0,0.0,1.0,0.27521,0.142857,0.0,0.515494,0.05,0.0,0.527875,0.119658,0.04902,0.0,0.528435,0.111111,0.0,0.0,0.0,0.0,0.0,0.956768,0.0,0.670869,0.610057,0.999723,0.999434,0.0,0.771544,0.280551,0.516129,0.572211,0.279793,0.722073
0.418719,0.408867,0.39749,0.285714,0.0,0.0,1.0,0.39916,0.285714,0.0,0.583866,0.15,0.0,0.592667,0.205128,0.156863,0.0,0.593357,0.205128,0.0,0.0,0.0,0.626695,0.0,0.980533,0.0,0.627006,0.434325,0.992587,0.987164,0.0,0.644167,0.351119,0.580645,0.534932,0.352332,0.891806
0.576355,0.571429,0.372385,0.142857,0.333333,0.0,0.876267,0.369748,0.142857,0.0,0.491884,0.17,0.0,0.499247,0.196581,0.186275,0.0,0.499748,0.188034,0.0,0.0,0.0,0.353747,0.0,0.955055,0.0,0.485392,0.191481,0.990541,0.983766,0.0,0.807198,0.333907,0.548387,0.620438,0.333333,0.44981
0.502463,0.502463,0.301255,0.071429,0.333333,0.0,0.85679,0.298319,0.071429,0.0,0.543532,0.07,0.0,0.558513,0.08547,0.068627,0.0,0.558128,0.08547,0.0,0.0,0.0,0.0,0.0,0.937961,0.0,0.368799,0.199262,0.991204,0.984899,0.0,0.594785,0.259897,0.483871,0.44317,0.260794,0.267608
0.448276,0.448276,0.299163,0.142857,0.333333,0.0,0.856124,0.296218,0.142857,0.0,0.285785,0.05,0.0,0.294827,0.094017,0.04902,0.0,0.294414,0.094017,0.0,0.0,0.0,0.0,0.0,0.931277,0.0,0.296256,0.12475,0.999668,0.999245,0.0,0.742738,0.20654,0.322581,0.347237,0.207254,0.206569
0.403941,0.403941,0.257322,0.0,0.333333,0.0,0.841368,0.254202,0.0,0.0,0.317757,0.0,0.0,0.331492,0.025641,0.0,0.0,0.331152,0.025641,0.0,0.0,0.0,0.0,0.0,0.936489,0.0,0.164781,0.079163,0.992532,0.987164,0.0,0.617742,0.246127,0.354839,0.357404,0.24525,0.103908
0.44335,0.44335,0.23431,0.071429,0.0,0.0,1.0,0.235294,0.071429,0.0,0.273979,0.02,0.0,0.285786,0.042735,0.019608,0.0,0.285858,0.042735,0.0,0.0,0.0,0.0,0.0,0.964565,0.0,0.340405,0.126821,0.990651,0.983955,0.0,0.702646,0.194492,0.387097,0.412148,0.195164,0.124503
0.546798,0.546798,0.307531,0.0,0.666667,0.0,0.717504,0.30042,0.0,0.0,0.176586,0.04,0.0,0.186841,0.034188,0.039216,0.0,0.187217,0.034188,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.248061,0.089646,0.991204,0.984899,0.0,0.411882,0.254733,0.387097,0.394421,0.255613,0.098729
0.536946,0.536946,0.294979,0.0,0.0,0.0,1.0,0.296218,0.0,0.0,0.164781,0.0,0.0,0.174284,0.042735,0.009804,0.0,0.174635,0.042735,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.095145,0.759026,0.999447,0.999056,0.0,0.702482,0.247849,0.322581,0.362617,0.248705,0.085381
0.497537,0.497537,0.257322,0.0,0.0,0.0,1.0,0.258403,0.0,0.0,0.134284,0.02,0.0,0.143144,0.042735,0.019608,0.0,0.143432,0.042735,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.074025,0.053478,0.992034,0.98622,0.0,0.57264,0.172117,0.258065,0.369656,0.172712,0.051738
0.453202,0.453202,0.177824,0.0,0.0,0.0,1.0,0.178571,0.0,0.0,0.181013,0.03,0.0,0.190357,0.051282,0.029412,0.0,0.19074,0.051282,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.078629,0.034706,0.992864,0.98773,0.0,0.605116,0.137694,0.354839,0.397028,0.138169,0.050061
0.527094,0.527094,0.286611,0.0,0.0,0.0,1.0,0.287815,0.0,0.0,0.175603,0.01,0.0,0.184832,0.051282,0.009804,0.0,0.184701,0.051282,0.0,0.0,0.0,0.0,0.0,0.952088,0.0,0.116593,0.041512,0.990983,0.984521,0.0,0.398746,0.20654,0.290323,0.315172,0.207254,0.06985
